255,0,0,255,0,255,0,255,0,255,255,255,0,150,255,0,255,0,255,0
255,255,0,255,0,255,255,0,0,0,255,255,0,255,255,0,0,255,255,0
255,255,255,218,255,255,255,0,255,0,255,255,0,255,255,255,0,255,255,0
0,255,255,255,0,255,0,255,255,255,0,0,255,0,0,0,255,255,0,255
0,0,255,0,0,255,0,255,0,255,0,0,255,0,255,255,255,0,0,255
255,0,0,255,255,0,0,255,0,0,255,0,0,255,255,0,255,0,255,255
0,0,255,255,255,0,0,255,0,255,0,255,0,0,0,0,0,255,255,0
2,255,0,255,255,255,255,0,255,0,255,0,0,0,0,255,255,255,255,255
255,255,255,0,0,0,255,255,0,0,0,0,0,255,0,255,255,255,0,255
0,255,0,255,255,0,255,0,0,255,0,0,255,0,255,0,0,255,0,0
0,255,255,0,255,255,0,255,0,0,255,0,0,0,0,255,255,255,0,0
0,255,255,255,255,0,255,0,0,255,0,0,255,0,255,0,0,0,255,255
0,0,0,255,0,0,0,0,255,255,0,255,0,255,0,255,0,255,255,255
255,255,0,0,0,255,255,255,255,0,0,0,255,255,0,255,0,0,0,0
0,0,0,0,255,255,0,255,0,0,0,255,0,0,255,255,255,255,255,255
255,255,0,255,0,0,0,255,0,255,255,255,255,255,255,0,0,0,0,0
0,255,0,209,0,255,255,255,255,255,0,0,255,0,255,0,0,77,0,255
0,0,0,255,255,0,255,0,255,255,255,0,255,0,0,0,255,0,0,0
0,255,255,0,0,255,255,255,0,0,0,255,255,0,0,255,255,0,0,0
0,0,0,255,255,255,0,255,255,0,0,255,255,0,255,0,255,0,0,255
