0,124,152,39,0,0,0,0,0,1,0,255,0,102,155,55,0,0,13,17,0,0,132,53,0
24,137,60,210,18,0,0,25,69,118,187,246,203,109,192,120,40,51,2,53,206,0,94,90,20
13,49,57,209,0,0,0,2,21,246,255,245,255,255,250,200,3,112,67,132,102,0,22,0,15
0,22,89,87,0,0,0,0,9,255,255,0,186,232,132,0,22,102,4,2,26,40,0,0,8
14,98,177,126,0,0,54,181,145,246,178,142,255,206,114,0,28,71,147,38,170,0,6,0,40
0,61,85,0,0,72,201,101,27,168,47,139,145,153,86,0,157,153,151,96,121,0,0,0,0
66,84,94,142,142,89,255,246,42,255,255,63,58,94,14,34,27,90,0,11,66,0,148,0,21
0,46,211,239,120,16,77,48,103,193,166,50,189,45,103,0,148,103,0,0,0,0,81,0,0
0,113,234,255,172,0,141,22,255,85,93,0,104,62,0,33,41,0,89,0,92,0,128,0,28
18,163,255,213,205,50,0,0,255,115,0,0,255,232,192,0,127,36,102,116,73,0,87,113,0
30,24,255,249,182,71,122,0,255,255,0,118,166,100,142,90,0,23,0,0,77,12,255,255,34
0,5,255,255,157,87,185,70,255,255,75,47,115,69,177,77,0,2,65,0,106,50,255,255,12
55,60,255,255,111,61,0,73,236,255,157,116,5,10,64,0,96,175,255,133,0,160,255,255,88
0,0,255,255,49,62,97,248,205,23,0,20,0,0,0,7,0,61,88,0,0,85,248,111,59
47,0,255,255,90,0,14,255,0,255,126,150,95,191,0,0,0,0,108,88,0,71,193,50,92
19,0,255,255,0,0,86,0,0,255,77,255,159,154,0,107,80,0,80,44,85,232,255,71,38
26,0,255,231,0,0,153,0,0,235,98,30,0,40,0,150,255,255,63,0,0,165,212,255,46
5,35,179,109,0,0,255,0,110,255,48,158,255,255,0,135,255,255,255,203,189,203,203,255,0
12,113,249,81,0,165,255,255,255,255,163,250,255,255,112,246,255,135,255,133,76,195,91,94,0
22,137,231,137,0,255,255,242,209,255,255,255,246,237,108,16,68,170,255,0,255,162,47,0,17
0,118,155,0,0,189,255,220,191,181,109,255,222,255,100,12,0,239,236,0,138,101,0,0,0
39,255,155,0,13,26,147,255,162,149,52,71,38,229,38,251,255,129,255,58,230,190,72,4,17
0,255,255,0,0,0,0,255,130,255,229,255,194,229,62,134,84,0,103,0,138,94,133,0,0
71,188,204,23,0,49,1,69,148,57,172,115,238,13,21,164,0,40,0,78,83,54,53,0,3
0,123,214,0,1,0,140,141,15,79,123,157,88,201,53,82,0,32,91,0,165,21,0,34,25
